,race_id,race_date,race_number,finish_position,frame_number,horse_number,horse_id,weight,finish_time,popularity,odds,last_3f_time,track_name_encoded,grade_encoded,year,month,day,day_of_week,is_weekend,speed,recent_3_avg_speed,recent_3_finish_variance,days_since_last_race,last_race_position,is_win,recent_3_win_count,recent_5_avg_odds,speed_trend_slope,consistency_score,track_experience_count,track_wins,track_win_rate,avg_odds,avg_weight,relative_odds,weight_advantage,odds_rank,career_total_races,career_total_wins,career_win_rate,is_place,is_show,career_place_rate,career_show_rate,recent_form_score,weight_normalized,finish_time_normalized,popularity_normalized,odds_normalized,last_3f_time_normalized,year_normalized,month_normalized,day_normalized,day_of_week_normalized,is_weekend_normalized,speed_normalized,recent_3_avg_speed_normalized,recent_3_finish_variance_normalized,days_since_last_race_normalized,last_race_position_normalized,is_win_normalized,recent_3_win_count_normalized,recent_5_avg_odds_normalized,speed_trend_slope_normalized,consistency_score_normalized,track_experience_count_normalized,track_wins_normalized,track_win_rate_normalized,avg_odds_normalized,avg_weight_normalized,relative_odds_normalized,weight_advantage_normalized,odds_rank_normalized,career_total_races_normalized,career_total_wins_normalized,career_win_rate_normalized,is_place_normalized,is_show_normalized,career_place_rate_normalized,career_show_rate_normalized,recent_form_score_normalized
count,11988.0,11988,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,3211.0,512.0,11988.0,3211.0,11988.0,3211.0,3211.0,512.0,512.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,3211.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,3211.0,512.0,11988.0,3211.0,11988.0,3211.0,3211.0,512.0,512.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,11988.0,3211.0
mean,202535047782.47906,2025-01-15 18:37:35.855855616,6.411327994661328,6.655321988655322,4.90357023690357,6.733900567233901,2020460320.6505673,55.22847847847848,96.0444027360694,0.0,1.5,39.61856856856857,4.8665331998665335,0.0,2025.0,1.0,15.776109442776109,3.1235402068735403,0.31614948281614946,0.0,0.0,5.87890625,3.8745412078745414,6.077234506384304,0.08825492158825492,0.1233260666459047,1.5,0.0,0.4827236380950278,0.32440774107440773,0.1987821154487821,0.08726782337893448,1.5,55.22847847847848,0.0,5.2158625914989004e-17,1.0213546880213547,1.4046546546546546,0.20787454120787455,0.0872794783304449,0.1722555889222556,0.2565065065065065,0.17189186849839064,0.2572411066254065,0.19090277598628766,-3.41401915079928e-16,1.0313182851372826e-16,0.0,0.0,-4.883944062948971e-16,0.0,0.0,4.386066270124075e-17,-3.7933546119992004e-17,-1.8966773059996002e-17,0.0,0.0,1.0408340855860843e-17,-2.8450159589994e-17,-1.5489875896358458e-17,-4.741693264999e-17,-1.7702715310123955e-17,-1.1064197068827472e-18,0.0,8.847089727481716e-17,-4.7416932649990005e-18,2.3708466324995002e-18,1.114297917274765e-16,0.0,-5.12102872619892e-16,0.0,2.3708466324995e-17,1.1202250338560137e-16,4.2675239384991e-17,-2.8450159589994e-17,-9.483386529998001e-18,-5.45294725474885e-17,-6.164201244498701e-17,-3.0821006222493503e-17,-3.55626994874925e-17,-1.947298684113635e-16
min,202506010101.0,2025-01-01 00:00:00,1.0,1.0,1.0,1.0,2012103557.0,49.0,47.1,0.0,1.0,28.4,0.0,0.0,2025.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.12389934309929541,0.0,0.0,0.0,1.5,53.0,-0.5,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,-3.9977769605902607,-2.615841631536263,0.0,-19.35523185084591,-4.9027815712047325,0.0,0.0,-1.65748001376974,-1.5680936036922646,-0.6799322613104372,0.0,0.0,-0.6737352770766623,-0.5725623448723104,-1.4707789032517797,-0.31112345493163995,-0.2826809548421033,-15.144541685278655,-0.0,-1.2806643723364461,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-2.295265470135033,-19.35523185084591,-3.2828072608380197,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,-1.168562010718242
25%,202507010804.0,2025-01-08 00:00:00,3.0,3.0,3.0,3.0,2019110089.0,54.0,87.4,0.0,1.5,38.2,1.0,0.0,2025.0,1.0,8.0,2.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,1.5,0.0,0.2612038749637414,0.0,0.0,0.0,1.5,54.583333333333336,0.0,-0.9375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10812287309588893,-0.7885044437115832,-0.46200152198633704,0.0,0.0,-0.6199482396492281,0.0,0.0,-0.8722692557335334,-0.5640446721359624,-0.6799322613104372,0.0,0.0,-0.616434203677451,-0.5725623448723104,-0.8914166928191644,-0.31112345493163995,-0.2826809548421033,0.0,0.0,-0.7906166677315456,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-0.6644799979795729,0.0,-0.7694079517589109,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,-0.699592191578681
50%,202544012906.0,2025-01-15 00:00:00,6.0,6.0,5.0,6.0,2021101649.0,56.0,96.0,0.0,1.5,39.7,4.0,0.0,2025.0,1.0,15.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.5,0.0,0.4142135623730951,0.0,0.0,0.0,1.5,55.0,0.0,-0.18181818181817988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.49520456303988764,-0.002373111511663392,0.0,0.0,0.03558747436436917,0.0,0.0,-0.08705849769732665,-0.06202020635781133,-0.6799322613104372,0.0,0.0,-0.4445309834798177,-0.5725623448723104,-0.02237337717024118,-0.31112345493163995,-0.2826809548421033,0.0,0.0,-0.24451636733291657,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,-0.23532592635971808,0.0,-0.14921851185627208,-0.06458662404047306,-0.21362043418088636,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,-0.587368438831232,-0.4820484344663122,-0.621738758716443,-0.40604480801465453
75%,202548012706.0,2025-01-24 00:00:00,9.0,9.0,7.0,10.0,2022100653.0,56.0,105.725,0.0,1.5,41.1,8.0,0.0,2025.0,1.0,24.0,5.0,1.0,0.0,0.0,8.0,10.0,9.0,0.0,0.0,1.5,0.0,0.585786437626905,0.0,0.0,0.0,1.5,55.75,0.0,0.75,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.49520456303988764,0.5173811084727791,0.0,0.0,0.647420807443726,0.0,0.0,0.9224981912063677,0.9420287251984909,1.4707347435944496,0.0,0.0,0.243081897310716,0.9051928631730859,0.846669938478682,-0.31112345493163995,-0.2826809548421033,0.0,0.0,0.3678370091280978,-0.18217338064551875,-0.11045415743848959,-0.3233117401789457,0.0,0.537151402556025,0.0,0.6155263614071287,-0.06458662404047306,0.31428757756111864,-0.11337629838403823,-0.32853075387315683,-0.45618240692798273,1.7025089090415513,-0.4820484344663122,0.5867359809405757,0.4994443701958555
max,202565013112.0,2025-01-31 00:00:00,12.0,18.0,8.0,18.0,2022110158.0,61.0,166.6,0.0,2.0,53.6,13.0,0.0,2025.0,1.0,31.0,6.0,1.0,0.0,0.0,50.0,29.0,18.0,1.0,3.0,2.0,0.0,1.0,47.0,48.0,1.0,1.5,60.07142857142857,0.5,5.399999999999999,12.0,50.0,48.0,1.0,1.0,1.0,1.0,1.0,0.5,3.704477079918565,3.7708554675013572,0.0,19.35523185084591,6.110218424223703,0.0,0.0,1.7077089492425743,1.4440531909766419,1.4707347435944496,0.0,0.0,5.056372062844452,3.7129277584593385,3.4537998854254517,3.2141581875262992,6.5937474239305764,15.144541685278655,0.0,1.8461888355452367,26.210997330948338,26.560957126609114,3.3815101249781696,0.0,4.9880922024991134,19.35523185084591,4.431789802131325,33.20458891880764,25.653872141177356,26.066175515956576,3.435592957193508,2.1921055806035703,1.7025089090415513,2.322321770345473,1.795210720597594,2.6122524526870454
std,18815102.24398355,,3.4265066513401177,3.896977612049051,2.2837163951425623,3.926167927500579,1594186.4579415487,1.5580504705116809,18.711547237877937,0.0,0.025833886121619867,2.288300293042149,3.9199512257674374,0.0,0.0,0.0,8.915175836866783,1.992017877922573,0.4649914229882523,0.0,0.0,8.734373860416614,6.767302903349909,3.4526095527143372,0.2836771107704589,0.4363409444638967,0.033020337356358516,0.0,0.2804600731026732,1.780837964861482,1.7997548617148538,0.2699297691988211,0.0,0.9709427774290877,0.025833886121619867,1.2185201646341186,0.330650178170569,1.894348425750618,1.8335685220159723,0.2656771635970533,0.3776181879360999,0.43672282793382367,0.35660117529016594,0.4137619422928241,0.11834436826029625,1.000041710984606,1.000041710984606,0.0,1.000041710984606,1.000041710984606,0.0,0.0,1.0000417109846058,1.000041710984606,1.000041710984606,0.0,0.0,1.000977995343767,1.0000417109846058,1.0001557511106711,1.000041710984606,1.0001557511106711,1.0001557511106711,0.0,1.000977995343767,1.000041710984606,1.0000417109846058,1.0000417109846058,0.0,1.000041710984606,1.000041710984606,1.000041710984606,1.0000417109846058,1.000041710984606,1.0000417109846056,1.000041710984606,1.0000417109846058,1.0000417109846058,1.0000417109846058,1.000041710984606,1.000155751110671
