,race_id,race_date,race_number,finish_position,frame_number,horse_number,horse_id,weight,finish_time,popularity,odds,last_3f_time,track_name_encoded,grade_encoded,year,month,day,day_of_week,is_weekend,speed,recent_3_avg_speed,recent_3_finish_variance,days_since_last_race,last_race_position,is_win,recent_3_win_count,recent_5_avg_odds,speed_trend_slope,consistency_score,track_experience_count,track_wins,track_win_rate,avg_odds,avg_weight,relative_odds,weight_advantage,odds_rank,career_total_races,career_total_wins,career_win_rate,is_place,is_show,career_place_rate,career_show_rate,recent_form_score,weight_normalized,finish_time_normalized,popularity_normalized,odds_normalized,last_3f_time_normalized,year_normalized,month_normalized,day_normalized,day_of_week_normalized,is_weekend_normalized,speed_normalized,recent_3_avg_speed_normalized,recent_3_finish_variance_normalized,days_since_last_race_normalized,last_race_position_normalized,is_win_normalized,recent_3_win_count_normalized,recent_5_avg_odds_normalized,speed_trend_slope_normalized,consistency_score_normalized,track_experience_count_normalized,track_wins_normalized,track_win_rate_normalized,avg_odds_normalized,avg_weight_normalized,relative_odds_normalized,weight_advantage_normalized,odds_rank_normalized,career_total_races_normalized,career_total_wins_normalized,career_win_rate_normalized,is_place_normalized,is_show_normalized,career_place_rate_normalized,career_show_rate_normalized,recent_form_score_normalized
count,141439.0,141439,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,118345.0,98006.0,141439.0,118345.0,141439.0,118345.0,118345.0,98006.0,98006.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,118345.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,118345.0,98006.0,141439.0,118345.0,141439.0,118345.0,118345.0,98006.0,98006.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,141439.0,118345.0
mean,202430798002.10333,2024-07-02 12:53:18.789584384,6.481903859614392,6.385770544192196,4.896987393858836,6.456140102800501,2019924552.4399848,55.09933964465247,93.48494121140563,0.0,1.0010817384172683,39.14570168058315,11.455546207198863,0.0,2024.0,6.545775917533353,15.820169825861326,3.2197767235345274,0.35152256449776936,0.0,0.0,8.762482228979179,29.22586415345131,6.242629599898602,0.0897489377045935,0.22433562888165956,1.0012067824299014,0.0,0.3299869624643064,2.619906814952029,0.5223806729402781,0.0966021189176813,1.0010817384172683,55.09933964465247,1.2559172784028806e-19,-1.2860592930845499e-17,1.0104497345145258,5.3655568831793214,0.6503298241644808,0.08904967082728997,0.1777586097186773,0.26569050968968955,0.17986030833656352,0.26947213267089404,0.18984550638625983,-1.2603381072228588e-15,-1.5593468928650166e-16,0.0,-3.28025498442378e-15,-1.064214065027465e-15,0.0,1.1574533637760948e-16,-6.359965097832188e-17,-3.85817787925365e-17,7.7163557585073e-17,0.0,0.0,-7.423992014961763e-17,-1.0449231756311968e-17,-8.069368683607881e-17,6.108781642151612e-17,3.650428690203565e-17,-3.3199688298272422e-15,0.0,2.7839970056106615e-17,-6.4302964654227495e-18,3.2151482327113747e-18,1.929088939626825e-17,-1.0081097283666516e-14,-2.031973683073589e-15,4.018935290889218e-18,-1.2860592930845499e-17,-3.126731656311812e-16,-3.5366630559825124e-17,-1.4468167047201185e-17,-1.929088939626825e-17,4.501207525795925e-17,-6.430296465422749e-17,8.520142816685142e-17,-2.0898463512623936e-17,-5.379579122405254e-17
min,202401010101.0,2024-01-01 00:00:00,1.0,1.0,1.0,1.0,2008104077.0,48.0,46.2,0.0,1.0,22.3,0.0,0.0,2024.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.0,0.08121030314161228,0.0,0.0,0.0,1.0,52.166666666666664,-0.25,-4.666666666666664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,-4.391424674822713,-2.4120716299910705,0.0,-0.03290759551300355,-6.793227042370355,0.0,-1.6086424067166536,-1.690120714209959,-1.5823666681471953,-0.7362565467098057,0.0,0.0,-0.7955340684245582,-0.8468400629377563,-1.438930285013558,-0.3140031907576307,-0.4501582267424562,-0.052117527195696546,-0.0,-1.5066041323460835,-0.38149720712455737,-0.08456502400766114,-0.4170618529474864,-0.10087084231911764,-2.927122320801989,-8.045433206189676,-3.6781695041062927,-0.03157390646600232,-0.5800516108498172,-0.10091543506324474,-0.47086652391574624,-0.4649600669212327,-0.601517754271663,-0.6838742376148238,-0.8757079127729616,-1.4313152271380316
25%,202408031209.0,2024-04-03 00:00:00,3.0,3.0,3.0,3.0,2019102811.0,54.0,78.8,0.0,1.0,37.6,5.0,0.0,2024.0,4.0,8.0,1.0,0.0,0.0,0.0,1.333333333333337,13.0,3.0,0.0,0.0,1.0,0.0,0.2216368750839041,0.0,0.0,0.0,1.0,54.44444444444444,0.0,-0.9166666666666643,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12041769497329217,-0.6800163794352461,-0.7490995902004902,0.0,-0.03290759551300355,-0.6233223557602066,0.0,-0.7384436659250434,-0.8918272304993482,-1.0909143706692064,-0.7362565467098057,0.0,0.0,-0.6744825143655071,-0.47015587798472463,-0.889995725516397,-0.3140031907576307,-0.4501582267424562,-0.052117527195696546,0.0,-0.6561736532350086,-0.38149720712455737,-0.08456502400766114,-0.4170618529474864,-0.10087084231911764,-0.6536556829570499,-4.0417594303559605e-18,-0.7224975811637346,-0.03157390646600232,-0.4471815953233259,-0.10091543506324474,-0.47086652391574624,-0.4649600669212327,-0.601517754271663,-0.6838742376148238,-0.8757079127729616,-0.7399889794250144
50%,202442032607.0,2024-07-02 00:00:00,6.0,6.0,5.0,6.0,2020104850.0,55.0,94.1,0.0,1.0,39.3,10.0,0.0,2024.0,7.0,16.0,3.0,0.0,0.0,0.0,4.5,20.0,6.0,0.0,0.0,1.0,0.0,0.2865345999226436,1.0,0.0,0.0,1.0,54.916666666666664,0.0,-0.1428571428571459,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.16666666666666666,-0.061448330204001554,0.03137501743128526,0.0,-0.03290759551300355,0.06222260941869712,0.0,0.13175507486656687,0.020508179455635416,-0.1080097757132283,-0.7362565467098057,0.0,0.0,-0.386985073475262,-0.2673259322407845,-0.06659388627065571,-0.3140031907576307,-0.4501582267424562,-0.052117527195696546,0.0,-0.26314972290287303,-0.2358824070304011,-0.08456502400766114,-0.4170618529474864,-0.10087084231911764,-0.1823272336477341,-4.0417594303559605e-18,-0.11259702563590938,-0.03157390646600232,-0.18144156427034341,-0.10091543506324474,-0.47086652391574624,-0.4649600669212327,-0.601517754271663,-0.6838742376148238,-0.2663861546471901,-0.24704920980922768
75%,202446042304.0,2024-10-03 00:00:00,9.0,9.0,7.0,9.0,2021104084.0,56.0,105.0,0.0,1.0,40.7,18.0,0.0,2024.0,10.0,23.0,5.0,1.0,0.0,0.0,12.333333333333332,34.0,9.0,0.0,0.0,1.0,0.0,0.39564392373896,3.0,0.0,0.0,1.0,55.55555555555556,0.0,0.7142857142857153,1.0,7.0,1.0,0.1111111111111111,0.0,1.0,0.2857142857142857,0.5,0.23790484559884673,0.5571197190272429,0.5873994111035963,0.0,-0.03290759551300355,0.6267890513307391,0.0,1.001953815658177,0.8188016631662461,0.8748948192427497,1.3582222181504733,0.0,0.0,0.3241928066216608,0.1383339592470957,0.7568079529750856,-0.3140031907576307,-0.4501582267424562,-0.052117527195696546,0.0,0.39762190489651045,0.05534719315791147,-0.08456502400766114,-0.4170618529474864,-0.10087084231911764,0.4553524330648746,-4.0417594303559605e-18,0.5629851281795357,-0.03157390646600232,0.2171684823091303,0.054260340848458335,0.11665392586531818,-0.4649600669212327,1.6624613203825251,0.4024835092700125,0.7491501088957623,0.5122353802026988
max,202465120912.0,2024-12-31 00:00:00,12.0,17.0,8.0,17.0,2022190001.0,65.0,170.0,0.0,2.0,55.9,24.0,0.0,2024.0,12.0,31.0,6.0,1.0,0.0,0.0,128.0,354.0,17.0,1.0,3.0,2.0,0.0,1.0,251.0,252.0,1.0,1.25,63.0,0.9444444444444444,6.100000000000001,18.0,264.0,254.0,1.0,1.0,1.0,1.0,1.0,0.5,6.124232162108443,3.903141208232055,0.0,30.3881211741814,6.756367563518597,0.0,1.5820863095192506,1.7311370731212297,1.3663471167207388,1.3582222181504733,0.0,0.0,10.82541512124431,9.410560050398644,2.9525461909637287,3.1846810141871096,5.569726741863064,43.135060131627846,0.0,4.057633114880175,36.16781761650867,40.7101794101283,3.9002539328778965,23.21133678312574,7.885706810411746,30.393858778938778,4.807892994653229,51.33398080460476,34.36476247261738,39.31373164650933,4.816817524113834,2.1507223332566463,1.6624613203825251,3.1183778764821035,2.3740081305644862,3.3057488421771843
std,18281957.154749494,,3.444225894589015,3.714218233479576,2.2825256012977158,3.764622706160546,1656040.7650922355,1.616642722420622,19.603525774699087,0.0,0.03287211430889614,2.479787754324902,7.063157441051038,0.0,0.0,3.4475005130503407,8.768735920583895,2.0347926751861407,0.477447445106144,0.0,0.0,11.0146469911455,34.51179124515653,3.6434369367393313,0.28582274836302546,0.4983504984783746,0.023155118698941764,0.0,0.16512494767684885,6.867458077509965,6.177288137078232,0.2316262197902746,0.010724032995700999,1.0018998264850747,0.0310736385935772,1.2687515239970109,0.3309622604588247,7.526179109328353,6.444327597115588,0.1891193811937869,0.38231076335705255,0.4417017570113178,0.26300295327710616,0.3077202813340614,0.09382316044328597,1.0000035351116123,1.0000035351116123,0.0,1.0000035351116123,1.0000035351116123,0.0,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,0.0,0.0,1.0000051017675073,1.0000035351116123,1.0000042249623449,1.0000035351116123,1.000004224962345,1.0000042249623449,0.0,1.0000051017675073,1.000003535111612,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.0000035351116123,1.000004224962345
